level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh
head,salience_readout,injected-control,15,14,39.0,0.00024471848155371845,0.00030799777596257627,0.0007533210446126759,0.324852854013443,27.0,12.0,0.023702702470473014,0.014285169541835785,0.044191161767646474,0.9846030793841232,0.06464535664295713
head,salience_readout,injected-control,15,15,39.0,0.002522826660424471,0.0015202686190605164,0.006680094171315432,0.37766334414482117,26.0,13.0,0.05325191409792752,0.05434839427471161,0.024795040991801638,0.8638272345530894,0.03894190487055963
head,salience_readout,injected-control,15,16,39.0,0.0034542130306363106,0.0032274872064590454,0.02740759588778019,0.12603123486042023,21.0,18.0,0.7492586247608418,0.47657686471939087,0.42911417716456707,1.0,0.4904162024737909
head,salience_readout,injected-control,15,17,39.0,0.01998722553253174,0.025675583630800247,0.027920028194785118,0.7158741354942322,31.0,8.0,0.0002940768754342571,0.00011209980584681034,0.0001999600079984003,0.006798640271945611,0.0005534028329469241
head,salience_readout,injected-control,15,18,39.0,0.007856911048293114,0.004469258710741997,0.02227143384516239,0.352779746055603,25.0,14.0,0.10812902140605732,0.013149019330739975,0.013397320535892822,0.9410117976404719,0.02205603895298111
head,salience_readout,injected-control,15,19,39.0,0.040995411574840546,0.03350893408060074,0.03810160234570503,1.075949788093567,38.0,1.0,1.4551915228366852e-10,3.2014213502407074e-10,0.0001999600079984003,0.0001999600079984003,0.0005534028329469241
head,salience_readout,injected-control,15,20,39.0,0.011322625912725925,0.014044206589460373,0.04168268293142319,0.2716386020183563,29.0,10.0,0.0033778479119064286,0.08484961092472076,0.09758048390321936,1.0,0.1314768625222324
head,salience_readout,injected-control,15,21,39.0,-0.0007347099599428475,-0.0031018145382404327,0.023746129125356674,-0.03094019927084446,16.0,23.0,0.3367836351899315,0.5571619272232056,0.8422315536892622,1.0,0.86940031348569
head,salience_readout,injected-control,15,22,39.0,-0.0064780209213495255,-0.013054345734417439,0.025899073109030724,-0.25012558698654175,13.0,26.0,0.05325191409792752,0.08484961092472076,0.11977604479104179,1.0,0.15846339775972454
head,salience_readout,injected-control,15,23,39.0,-0.0003166303504258394,-0.00013268389739096165,0.001111276214942336,-0.2849249839782715,16.0,23.0,0.3367836351899315,0.0640091523528099,0.08418316336732654,0.9992001599680064,0.11649129633532752
head,salience_readout,injected-control,15,24,39.0,0.004226027987897396,0.0021414468064904213,0.006083566229790449,0.6946629285812378,34.0,5.0,2.4299079086631536e-06,1.2818745744880289e-06,0.0001999600079984003,0.009998000399920015,0.0005534028329469241
head,salience_readout,injected-control,15,25,39.0,0.0015386888990178704,0.0014146612957119942,0.002025807974860072,0.7595432996749878,31.0,8.0,0.0002940768754342571,2.3796659661456943e-05,0.0001999600079984003,0.003599280143971206,0.0005534028329469241
head,salience_readout,injected-control,15,26,39.0,0.006825712043792009,0.00435137003660202,0.008589430712163448,0.7946640849113464,33.0,6.0,1.429926123819314e-05,3.670036676339805e-06,0.0001999600079984003,0.001799640071985603,0.0005534028329469241
head,salience_readout,injected-control,15,27,39.0,0.010211532935500145,0.007226429879665375,0.014849063940346241,0.6876886487007141,31.0,8.0,0.0002940768754342571,9.093475819099694e-05,0.0001999600079984003,0.011197760447910418,0.0005534028329469241
head,salience_readout,injected-control,15,28,39.0,0.007641405798494816,0.004852136597037315,0.015156200155615807,0.504176914691925,24.0,15.0,0.19959086691960698,0.008562066592276096,0.002999400119976005,0.261747650469906,0.005952297912510522
head,salience_readout,injected-control,15,29,39.0,0.00215887650847435,-0.0006366260349750519,0.020174045115709305,0.10701257735490799,19.0,20.0,1.0,0.5759103298187256,0.5070985802839432,1.0,0.5668874958632727
head,salience_readout,injected-control,15,30,39.0,-0.008594674058258533,-0.007175823673605919,0.02528943121433258,-0.33985239267349243,14.0,25.0,0.10812902140605732,0.023927083238959312,0.04059188162367527,0.9642071585682863,0.06076913272316297
head,salience_readout,injected-control,15,31,39.0,-0.002269963501021266,-0.0006743557751178741,0.03253992646932602,-0.06975933164358139,19.0,20.0,1.0,0.8306540846824646,0.6592681463707258,1.0,0.7136264079108068
